A_23_P28224,A_23_P358345,CUST_16472_PI416261804,CUST_17139_PI416261804,CUST_546_PI416408490,top_level_structure
9.2334,1.7586,2.0292,6.4048,6.8257,TL
8.8761,1.6539,1.521,6.3346,7.4396,TL
9.0058,1.5104,1.6321,5.9725,6.7726,TL
8.5802,1.5163,1.4767,5.6817,6.8642,TL
8.6498,1.7122,2.0661,5.6343,6.3573,TL
9.1506,1.4731,2.8181,5.9834,6.8112,TL
8.9665,1.6704,2.5527,6.0028,6.6878,TL
8.9599,1.6456,1.9739,5.895,6.7317,TL
8.617,1.6846,1.8726,6.3039,6.5464,TL
9.1043,1.5167,1.5227,5.8424,6.6843,TL
9.2223,1.5878,1.8939,6.2761,6.8028,TL
9.2661,1.7082,1.7889,6.437,7.1508,TL
9.8901,1.6673,2.0745,7.2199,7.4957,TL
